Bachelor of Business Analytics,Computing, Colombo / , Degree ,Full Time,https://www.nibm.lk/programmes/bachelor-of-business-analytics/
BSc (Hons) Ethical Hacking and Network Security,Computing, Colombo / , Degree ,Full Time / Part Time,https://www.nibm.lk/programmes/bsc-hons-ethical-hacking-and-network-security/
BSc (Hons) Computing (Software Engineering Pathway),Computing, Colombo / , Degree ,Part Time,https://www.nibm.lk/programmes/bsc-hons-computing/
BSc (Hons) Information Technology for Business,Computing, Colombo / , Degree ,Full Time / Part Time,https://www.nibm.lk/programmes/bsc-hons-information-technology-for-business-itb/
BA (Hons) Creative Multimedia,Computing, Colombo / , Degree ,Weekend,https://www.nibm.lk/programmes/ba-hons-creative-multimedia/
Bachelor of Software Engineering (Honours),Computing, Colombo / , Degree ,2 Years,https://www.nibm.lk/programmes/bachelor-of-software-engineering-honours/
Bachelor of Business Analytics,Computing,Engineering, Colombo / , Degree ,https://www.nibm.lk/programmes/bachelor-of-business-analytics-2/
Higher National Diploma in Digital Filmmaking,Computing, Colombo / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-digital-filmmaking/
Higher National Diploma in Network Engineering (Part Time),Computing, Colombo / , Higher National Diploma ,Part Time,https://www.nibm.lk/programmes/higher-national-diploma-in-network-engineering-part-time/
Higher National Diploma in Software Engineering (Part Time),Computing, Colombo / Kandy / , Higher National Diploma ,Part Time,https://www.nibm.lk/programmes/higher-national-diploma-in-software-engineering-part-time/
Higher National Diploma in Network Engineering (Full Time),Computing, Colombo / Kurunagala / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-network-engineering-full-time/
Higher National Diploma in Information Systems (Full Time),Computing, Kurunagala / Colombo / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-information-systems-full-time/
Higher National Diploma in Software Engineering (Full Time),Computing, Colombo / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-software-engineering-full-time/
Advanced Diploma in Advertising and Multimedia,Computing, Colombo / KIC / , Advanced Diploma ,Full Time / Part Time,https://www.nibm.lk/programmes/advanced-diploma-in-advertising-and-multimedia/
Diploma in Management Information Systems (Part Time),Computing, Colombo / , Diploma ,Weekend,https://www.nibm.lk/programmes/diploma-in-management-information-systems-dmis-part-time/
Diploma in Network Engineering (Part Time),Computing, Colombo / , Diploma ,Part Time,https://www.nibm.lk/programmes/diploma-in-network-engineering-part-time/
Diploma in Software Engineering (Part Time),Computing, Colombo / Kandy / Kurunagala / Matara / , Diploma ,Part Time,https://www.nibm.lk/programmes/diploma-in-software-engineering-dse-part-time/
Diploma in Computer System Design (Part Time),Computing, Colombo / Galle / Kandy / , Diploma ,Part Time / Weekend,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-part-time-weekend/
Diploma in Information and Communication Technology,Computing, Colombo / Galle / Kandy / Matara / , Diploma ,Full Time / Part Time,https://www.nibm.lk/programmes/diploma-in-information-and-communication-technology/
Diploma in Business Information Systems,Computing, Colombo / Kandy / Matara / Kurunagala / Galle / , Diploma ,Full Time,https://www.nibm.lk/programmes/diploma-in-business-information-systems/
Diploma in Network Engineering (Full Time),Computing, Colombo / Kandy / , Diploma ,Full Time,https://www.nibm.lk/programmes/diploma-in-network-engineering-dne-full-time/
Diploma in Software Engineering (Full Time),Computing, Kurunagala / Colombo / Matara / Kandy / , Diploma ,Full Time,https://www.nibm.lk/programmes/diploma-in-software-engineering-full-time/
Diploma in Computer System Design (Full Time),Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-full-time/
Diploma in Computer Science with Artificial Intelligence,Computing, KIC / , Diploma ,Full-Time,https://www.nibm.lk/programmes/diploma-in-computer-science-with-artificial-intelligence/
Advanced Certificate in Network Administration,Computing, Colombo / Galle / , ,Part Time,https://www.nibm.lk/programmes/advanced-certificate-in-network-administration/
Advanced Certificate in Full Stack Web Development,Computing, KIC / , Certificate ,Full Time/ Part Time,https://www.nibm.lk/programmes/advanced-certificate-in-full-stack-web-development/
Advanced Certificate In Mobile Development With React Native,Computing, KIC / , ,This certification course will be conducted for 4 Months,https://www.nibm.lk/programmes/advanced-certificate-in-full-stack-web-development-2/
Certificate Course in Personal Computer Based Application Packages,Computing, Colombo / , Certificate ,Weekend,https://www.nibm.lk/programmes/certificate-course-in-personal-computer-based-application-packages/
Certificate in Workplace Essentials (Computing and Communication),Computing, Colombo / Kurunagala / KIC / , Certificate ,Full Time,https://www.nibm.lk/programmes/certificate-in-workplace-essentials/
Certificate in Computer Applications,Computing, Colombo / Kurunagala / Kandy / , Certificate ,Full Time,https://www.nibm.lk/programmes/certificate-in-computer-applications/
Certificate in Cybersecurity,Computing, Colombo / KIC / , Certificate ,Full Time/ Part Time,https://www.nibm.lk/programmes/certificate-in-cybersecurity/
Certificate Course in Web Application Design and Development,Computing, Colombo / Kurunagala / Kandy / , Certificate ,Full Time/ Weekend,https://www.nibm.lk/programmes/certificate-course-in-web-application-design-and-development/
Certificate Course in Python Programming,Computing, Colombo / Kandy / , Certificate ,Part Time,https://www.nibm.lk/programmes/certificate-course-in-python-programming/
Certificate in Java Application Development,Computing, Colombo / KIC / , Certificate ,Full Time/ Weekend,https://www.nibm.lk/programmes/certificate-in-java-application-development/
Certificate in Advertising & Graphic Design,Computing, Colombo / Kandy / Kurunagala / , Certificate ,Full Time,https://www.nibm.lk/programmes/certificate-in-advertising-and-graphic-designing/
Certificate in Computer Science,Computing, Colombo / Kurunagala / Galle / Kandy / Matara / , Certificate ,Full Time | Part Time,https://www.nibm.lk/programmes/certificate-in-computer-science/
Certificate in Software Engineering,Computing, Colombo / Kurunagala / Kandy / Galle / Matara / , Certificate ,Full Time/ Part Time/ Weekend,https://www.nibm.lk/programmes/certificate-in-software-engineering/
Advanced Certificate in Full Stack Web Development,Computing, KIC / , Certificate ,Full Time/ Part Time,https://www.nibm.lk/programmes/advanced-certificate-in-full-stack-web-development/
Certificate in Robotics and IoT,Computing,Engineering, Colombo / Matara / Kurunagala / , Certificate ,https://www.nibm.lk/programmes/certificate-in-robotics-and-iot/
Foundation in Python Programming,Computing, Colombo / , Foundation ,Online,https://www.nibm.lk/programmes/foundation-in-python-programming/
Foundation Course in Database Management System,Computing, Colombo / , Foundation ,Online,https://www.nibm.lk/programmes/foundation-course-in-database-management-system/
